support_success,pattern,support_failure,ratio,decoded
27.0,"[8, 42, 48]",0.0,28.0,activity_relational_model → practice_docker → practice_jpa
27.0,"[3, 17, 48]",0.0,28.0,activity_conceptual_modeling_correction → lecture_conceptual_modeling → practice_jpa
27.0,"[3, 0, 6]",0.0,28.0,activity_conceptual_modeling_correction → activity_conceptual_modeling → activity_normalization
27.0,"[43, 35, 17]",0.0,28.0,practice_docker_advanced → lecture_transaction → lecture_conceptual_modeling
27.0,"[12, 14, 14]",0.0,28.0,documentation_docker → documentation_rdbms → documentation_rdbms
27.0,"[31, 17, 17]",0.0,28.0,lecture_relational_algebra → lecture_conceptual_modeling → lecture_conceptual_modeling
27.0,"[43, 54, 55]",0.0,28.0,practice_docker_advanced → practice_spring_2tiers → practice_spring_2tiers_ext
27.0,"[14, 17, 42]",0.0,28.0,documentation_rdbms → lecture_conceptual_modeling → practice_docker
27.0,"[13, 3, 55]",0.0,28.0,documentation_programming → activity_conceptual_modeling_correction → practice_spring_2tiers_ext
27.0,"[34, 17, 3]",0.0,28.0,lecture_technical_architecture → lecture_conceptual_modeling → activity_conceptual_modeling_correction
27.0,"[42, 12, 49]",0.0,28.0,practice_docker → documentation_docker → practice_jpa_advanced
27.0,"[12, 7, 0]",0.0,28.0,documentation_docker → activity_normalization_correction → activity_conceptual_modeling
27.0,"[14, 35, 20]",0.0,28.0,documentation_rdbms → lecture_transaction → lecture_dto
27.0,"[4, 25, 29]",0.0,28.0,activity_decomposition → lecture_jpa → lecture_normalization
26.0,"[3, 17, 25]",0.0,27.0,activity_conceptual_modeling_correction → lecture_conceptual_modeling → lecture_jpa
26.0,"[3, 0, 25]",0.0,27.0,activity_conceptual_modeling_correction → activity_conceptual_modeling → lecture_jpa
26.0,"[27, 18, 17]",0.0,27.0,lecture_modeling_normalization → lecture_db_integrity → lecture_conceptual_modeling
26.0,"[3, 29, 7]",0.0,27.0,activity_conceptual_modeling_correction → lecture_normalization → activity_normalization_correction
