support,pattern
19,"[69, 16, 37]"
17,"[69, 16, 26]"
15,"[69, 16, 50]"
16,"[69, 16, 60]"
12,"[69, 16, 36]"
12,"[69, 16, 64]"
23,"[69, 16, 32]"
23,"[69, 16, 18]"
24,"[69, 16, 8]"
22,"[69, 16, 27]"
23,"[69, 16, 17]"
23,"[69, 16, 0]"
24,"[69, 16, 29]"
20,"[69, 16, 6]"
23,"[69, 16, 10]"
21,"[69, 16, 56]"
20,"[69, 16, 35]"
17,"[69, 16, 58]"
15,"[69, 16, 49]"
12,"[69, 16, 55]"
24,"[69, 16, 53]"
18,"[69, 16, 13]"
12,"[69, 16, 15]"
13,"[69, 16, 43]"
14,"[69, 16, 9]"
17,"[69, 16, 4]"
37,"[69, 51]"
22,"[69, 51, 16]"
19,"[69, 51, 68]"
26,"[69, 51, 14]"
22,"[69, 51, 12]"
37,"[69, 51, 70]"
20,"[69, 51, 62]"
34,"[69, 51, 34]"
32,"[69, 51, 33]"
36,"[69, 51, 28]"
34,"[69, 51, 54]"
34,"[69, 51, 69]"
13,"[69, 51, 66]"
29,"[69, 51, 42]"
34,"[69, 51, 25]"
33,"[69, 51, 48]"
28,"[69, 51, 20]"
29,"[69, 51, 37]"
24,"[69, 51, 26]"
24,"[69, 51, 50]"
26,"[69, 51, 60]"
14,"[69, 51, 36]"
14,"[69, 51, 64]"
34,"[69, 51, 32]"
33,"[69, 51, 18]"
33,"[69, 51, 8]"
33,"[69, 51, 27]"
34,"[69, 51, 17]"
35,"[69, 51, 0]"
20,"[69, 51, 3]"
15,"[69, 51, 1]"
36,"[69, 51, 29]"
33,"[69, 51, 6]"
34,"[69, 51, 10]"
28,"[69, 51, 51]"
16,"[69, 51, 11]"
33,"[69, 51, 56]"
19,"[69, 51, 57]"
30,"[69, 51, 35]"
27,"[69, 51, 58]"
24,"[69, 51, 49]"
21,"[69, 51, 55]"
13,"[69, 51, 21]"
29,"[69, 51, 13]"
32,"[69, 51, 53]"
17,"[69, 51, 43]"
19,"[69, 51, 15]"
15,"[69, 51, 31]"
27,"[69, 51, 4]"
12,"[69, 51, 39]"
12,"[69, 51, 5]"
19,"[69, 51, 9]"
21,"[69, 51, 7]"
14,"[69, 51, 59]"
22,"[69, 68]"
21,"[69, 68, 70]"
18,"[69, 68, 34]"
18,"[69, 68, 33]"
18,"[69, 68, 28]"
18,"[69, 68, 54]"
17,"[69, 68, 69]"
13,"[69, 68, 42]"
18,"[69, 68, 25]"
17,"[69, 68, 48]"
14,"[69, 68, 20]"
14,"[69, 68, 37]"
13,"[69, 68, 26]"
13,"[69, 68, 50]"
14,"[69, 68, 60]"
17,"[69, 68, 32]"
16,"[69, 68, 18]"
16,"[69, 68, 8]"
16,"[69, 68, 27]"
16,"[69, 68, 17]"
17,"[69, 68, 0]"
18,"[69, 68, 29]"
17,"[69, 68, 6]"
16,"[69, 68, 10]"
12,"[69, 68, 51]"
16,"[69, 68, 56]"
15,"[69, 68, 35]"
13,"[69, 68, 58]"
13,"[69, 68, 49]"
16,"[69, 68, 53]"
13,"[69, 68, 4]"
31,"[69, 14]"
21,"[69, 14, 12]"
31,"[69, 14, 70]"
16,"[69, 14, 62]"
26,"[69, 14, 34]"
25,"[69, 14, 33]"
28,"[69, 14, 28]"
26,"[69, 14, 54]"
30,"[69, 14, 69]"
21,"[69, 14, 42]"
27,"[69, 14, 25]"
25,"[69, 14, 48]"
20,"[69, 14, 20]"
22,"[69, 14, 37]"
20,"[69, 14, 26]"
18,"[69, 14, 50]"
18,"[69, 14, 60]"
12,"[69, 14, 64]"
27,"[69, 14, 32]"
25,"[69, 14, 18]"
24,"[69, 14, 8]"
26,"[69, 14, 27]"
27,"[69, 14, 17]"
27,"[69, 14, 0]"
14,"[69, 14, 3]"
13,"[69, 14, 1]"
30,"[69, 14, 29]"
25,"[69, 14, 6]"
29,"[69, 14, 10]"
22,"[69, 14, 51]"
26,"[69, 14, 56]"
15,"[69, 14, 57]"
21,"[69, 14, 35]"
18,"[69, 14, 58]"
18,"[69, 14, 49]"
18,"[69, 14, 55]"
24,"[69, 14, 13]"
26,"[69, 14, 53]"
12,"[69, 14, 31]"
22,"[69, 14, 4]"
13,"[69, 14, 15]"
13,"[69, 14, 43]"
12,"[69, 14, 9]"
16,"[69, 14, 7]"
17,"[69, 14, 16]"
15,"[69, 14, 68]"
13,"[69, 14, 14]"
37,"[69, 70]"
20,"[69, 70, 62]"
37,"[69, 70, 70]"
35,"[69, 70, 34]"
33,"[69, 70, 33]"
37,"[69, 70, 28]"
34,"[69, 70, 54]"
32,"[69, 70, 69]"
26,"[69, 70, 42]"
34,"[69, 70, 25]"
34,"[69, 70, 48]"
28,"[69, 70, 20]"
29,"[69, 70, 37]"
24,"[69, 70, 26]"
24,"[69, 70, 50]"
26,"[69, 70, 60]"
14,"[69, 70, 36]"
14,"[69, 70, 64]"
30,"[69, 70, 32]"
30,"[69, 70, 18]"
30,"[69, 70, 8]"
31,"[69, 70, 27]"
33,"[69, 70, 17]"
32,"[69, 70, 0]"
18,"[69, 70, 3]"
14,"[69, 70, 1]"
33,"[69, 70, 29]"
33,"[69, 70, 6]"
31,"[69, 70, 10]"
21,"[69, 70, 12]"
21,"[69, 70, 51]"
14,"[69, 70, 11]"
31,"[69, 70, 56]"
18,"[69, 70, 57]"
28,"[69, 70, 35]"
27,"[69, 70, 58]"
24,"[69, 70, 49]"
21,"[69, 70, 55]"
13,"[69, 70, 21]"
14,"[69, 70, 31]"
25,"[69, 70, 4]"
21,"[69, 70, 13]"
25,"[69, 70, 53]"
15,"[69, 70, 16]"
13,"[69, 70, 15]"
19,"[69, 70, 14]"
12,"[69, 70, 59]"
17,"[69, 70, 9]"
19,"[69, 70, 7]"
13,"[69, 70, 43]"
20,"[69, 62]"
19,"[69, 62, 70]"
14,"[69, 62, 62]"
14,"[69, 62, 34]"
15,"[69, 62, 33]"
17,"[69, 62, 28]"
17,"[69, 62, 54]"
15,"[69, 62, 69]"
15,"[69, 62, 25]"
16,"[69, 62, 48]"
13,"[69, 62, 20]"
13,"[69, 62, 37]"
13,"[69, 62, 50]"
13,"[69, 62, 64]"
13,"[69, 62, 32]"
12,"[69, 62, 18]"
13,"[69, 62, 8]"
13,"[69, 62, 27]"
14,"[69, 62, 17]"
16,"[69, 62, 0]"
18,"[69, 62, 29]"
16,"[69, 62, 6]"
14,"[69, 62, 10]"
13,"[69, 62, 56]"
12,"[69, 62, 35]"
13,"[69, 62, 49]"
13,"[69, 62, 53]"
35,"[69, 34]"
33,"[69, 34, 33]"
35,"[69, 34, 28]"
18,"[69, 34, 62]"
34,"[69, 34, 54]"
35,"[69, 34, 70]"
28,"[69, 34, 69]"
22,"[69, 34, 42]"
33,"[69, 34, 25]"
33,"[69, 34, 48]"
27,"[69, 34, 20]"
28,"[69, 34, 37]"
