support,pattern
35,"[69, 33, 26]"
31,"[69, 33, 50]"
29,"[69, 33, 8]"
36,"[69, 33, 27]"
46,"[69, 33, 17]"
44,"[69, 33, 29]"
41,"[69, 33, 69]"
41,"[69, 33, 0]"
26,"[69, 33, 10]"
27,"[69, 33, 56]"
30,"[69, 33, 35]"
26,"[69, 33, 58]"
17,"[69, 33, 1]"
28,"[69, 33, 60]"
28,"[69, 33, 4]"
24,"[69, 33, 3]"
36,"[69, 33, 6]"
19,"[69, 33, 7]"
32,"[69, 33, 34]"
34,"[69, 33, 33]"
26,"[69, 33, 13]"
26,"[69, 33, 53]"
30,"[69, 33, 42]"
25,"[69, 33, 12]"
25,"[69, 33, 51]"
19,"[69, 33, 36]"
17,"[69, 33, 14]"
16,"[69, 33, 63]"
48,"[69, 28]"
47,"[69, 28, 25]"
36,"[69, 28, 49]"
47,"[69, 28, 48]"
48,"[69, 28, 70]"
46,"[69, 28, 54]"
32,"[69, 28, 32]"
31,"[69, 28, 18]"
33,"[69, 28, 55]"
36,"[69, 28, 20]"
36,"[69, 28, 37]"
31,"[69, 28, 26]"
29,"[69, 28, 50]"
30,"[69, 28, 8]"
36,"[69, 28, 27]"
46,"[69, 28, 17]"
45,"[69, 28, 29]"
42,"[69, 28, 69]"
41,"[69, 28, 0]"
26,"[69, 28, 10]"
27,"[69, 28, 56]"
30,"[69, 28, 35]"
26,"[69, 28, 58]"
27,"[69, 28, 60]"
28,"[69, 28, 4]"
24,"[69, 28, 3]"
38,"[69, 28, 6]"
17,"[69, 28, 7]"
28,"[69, 28, 34]"
31,"[69, 28, 33]"
40,"[69, 28, 28]"
25,"[69, 28, 13]"
25,"[69, 28, 53]"
29,"[69, 28, 42]"
23,"[69, 28, 12]"
23,"[69, 28, 51]"
18,"[69, 28, 36]"
16,"[69, 28, 14]"
17,"[69, 28, 63]"
49,"[69, 25]"
38,"[69, 25, 49]"
48,"[69, 25, 48]"
37,"[69, 25, 25]"
49,"[69, 25, 70]"
43,"[69, 25, 54]"
29,"[69, 25, 32]"
30,"[69, 25, 18]"
